time(ms),angle_x(deg),angle_y(deg),angle_z(deg),acc_x(g),acc_y(g),acc_z(g),motor_pos
9653,-0.78,-3.79,-122.86,-0.0135,-0.0661,-0.996,1200000
9717,-0.78,-3.8,-122.86,-0.0133,-0.0661,-0.9958,1200000
9781,-0.77,-3.8,-122.86,-0.0135,-0.0661,-0.9958,1199999
9845,-0.77,-3.8,-122.86,-0.0137,-0.0661,-0.9963,1200001
9909,-0.77,-3.8,-122.86,-0.0137,-0.0661,-0.9968,1200000
9973,-0.78,-3.79,-122.86,-0.0137,-0.0661,-0.9968,1200000
10037,-0.78,-3.79,-122.86,-0.0137,-0.0661,-0.9966,1200001
10101,-0.78,-3.79,-122.86,-0.0139,-0.0661,-0.9966,1200000
10165,-0.78,-3.79,-122.86,-0.0138,-0.066,-0.9966,1200000
10229,-0.79,-3.79,-122.86,-0.0136,-0.066,-0.9966,1200000
10292,-0.79,-3.79,-122.86,-0.0136,-0.066,-0.9967,1200000
10356,-0.79,-3.79,-122.86,-0.0136,-0.0661,-0.9964,1200001
10420,-0.79,-3.79,-122.86,-0.0136,-0.0661,-0.996,1200000
10484,-0.79,-3.79,-122.86,-0.0136,-0.0661,-0.996,1200000
10548,-0.78,-3.79,-122.86,-0.0134,-0.0661,-0.9961,1200000
10612,-0.78,-3.8,-122.86,-0.0137,-0.0661,-0.9964,1200000
10676,-0.78,-3.8,-122.86,-0.0137,-0.0661,-0.9961,1200001
10740,-0.78,-3.8,-122.86,-0.0136,-0.0661,-0.996,1200000
10804,-0.78,-3.8,-122.86,-0.0135,-0.066,-0.9959,1200000
10868,-0.78,-3.8,-122.86,-0.0134,-0.0661,-0.9965,1200000
10932,-0.78,-3.8,-122.86,-0.0136,-0.0661,-0.9971,1199999
10996,-0.78,-3.79,-122.86,-0.0138,-0.066,-0.9968,1200000
11059,-0.78,-3.79,-122.86,-0.0138,-0.066,-0.9964,1200000
11123,-0.78,-3.79,-122.86,-0.0136,-0.066,-0.9962,1200000
11187,-0.78,-3.79,-122.86,-0.0137,-0.0661,-0.9964,1200000
11251,-0.78,-3.79,-122.86,-0.0138,-0.0661,-0.9971,1199999
11315,-0.79,-3.79,-122.86,-0.0137,-0.0661,-0.9971,1200001
11379,-0.79,-3.79,-122.86,-0.0134,-0.0661,-0.9966,1200000
11443,-0.78,-3.79,-122.86,-0.0134,-0.066,-0.9967,1200000
11507,-0.78,-3.79,-122.86,-0.0135,-0.066,-0.9969,1200000
